idx,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,samples,SR,session_id,notes
137, -0.7629621624946594, 0.007045777048915625, 0.0002855370403267443, -1.5773814916610718, -0.04219452291727066, 1.5466018915176392, -0.029595712199807167, 0.0, 80896, 16000, 15, 
138, -0.7117904424667358, 0.00296713225543499, 0.0003030413936357945, -1.5718449354171753, -0.0421924814581871, 1.5468003749847412, -0.029597530141472816, 0.0, 80896, 16000, 15, 
139, -0.6596695780754089, 0.00312993791885674, 0.0002738557232078165, -1.5718539953231812, -0.04219451919198036, 1.5467948913574219, -0.029600774869322777, 0.0, 80896, 16000, 15, 
140, -0.6142454743385315, 0.002471604384481907, 0.0002710834378376603, -1.5692877769470215, -0.04219380393624306, 1.5468090772628784, -0.029600346460938454, 0.0, 80896, 16000, 15, 
141, -0.553084135055542, 0.0020651700906455517, 0.0002850335731636733, -1.569309115409851, -0.04219380393624306, 1.5467865467071533, -0.029598312452435493, 0.0, 80896, 16000, 15, 
142, -0.49610137939453125, 0.0018642585491761565, 0.000283355446299538, -1.5693002939224243, -0.04219486936926842, 1.546783208847046, -0.029603850096464157, 0.0, 80896, 16000, 15, 
143, -0.43939009308815, 0.0016783662140369415, 0.0004928401322104037, -1.5691406726837158, -0.0421929769217968, 1.5467805862426758, -0.02960796467959881, 0.0, 80896, 16000, 15, 
144, -0.373688280582428, 0.0019675891380757093, 0.0005711021367460489, -1.5692365169525146, -0.04219427704811096, 1.5467755794525146, -0.02959820255637169, 0.0, 80896, 16000, 15, 
145, -0.3354763686656952, 0.0023990580812096596, 0.004911630414426327, -1.5692546367645264, -0.04219044744968414, 1.546777367591858, -0.02960975281894207, 0.0, 80896, 16000, 16, 
146, -0.30274108052253723, 0.00316820852458477, 0.0017136067617684603, -1.5694059133529663, -0.0421997606754303, 1.5467942953109741, -0.02960190363228321, 0.0, 80896, 16000, 16, 
147, -0.25701087713241577, 0.002864793175831437, 0.003100039204582572, -1.569417119026184, -0.04218912497162819, 1.546997308731079, -0.029602263122797012, 0.0, 80896, 16000, 16, 
148, -0.21076035499572754, 0.003011548426002264, 0.003098513698205352, -1.569449543952942, -0.04217832535505295, 1.5470484495162964, -0.029602717608213425, 0.0, 80896, 16000, 16, 
149, -0.16957756876945496, 0.0026345897931605577, 0.0030922649893909693, -1.5686393976211548, -0.04218035936355591, 1.5473718643188477, -0.0294886976480484, 0.0, 80896, 16000, 16, 
150, -0.12182240933179855, 0.002623222302645445, 0.0030953441746532917, -1.5684362649917603, -0.04218997806310654, 1.5473873615264893, -0.02949388697743416, 0.0, 80896, 16000, 16, 
