,Iteration,Modelname,Metricname,Result
338,2,20,Standard deviation per Recording (avg),0.11180306552700144
339,2,20,Ratio of Outliers (>= 0.5 rad),0.12151616499442586
340,2,21,Mean Square Error,0.10753317267637516
341,2,21,R squared,0.5367000441575724
342,2,21,Standard Deviation of Error,0.26420280667342766
343,2,21,Standard deviation per Recording (avg),0.11045489622898483
344,2,21,Ratio of Outliers (>= 0.5 rad),0.11928651059085842
345,2,22,Mean Square Error,0.10798263396451638
346,2,22,R squared,0.5347635682797949
347,2,22,Standard Deviation of Error,0.26473025323392746
348,2,22,Standard deviation per Recording (avg),0.109059484456797
349,2,22,Ratio of Outliers (>= 0.5 rad),0.12151616499442586
350,2,23,Mean Square Error,0.10842812543761589
351,2,23,R squared,0.5328441961020917
352,2,23,Standard Deviation of Error,0.26491131075981156
353,2,23,Standard deviation per Recording (avg),0.10917442246858375
354,2,23,Ratio of Outliers (>= 0.5 rad),0.11928651059085842
355,2,24,Mean Square Error,0.10816868943517916
356,2,24,R squared,0.5339619599091228
357,2,24,Standard Deviation of Error,0.2646128158528965
358,2,24,Standard deviation per Recording (avg),0.10859143537165938
359,2,24,Ratio of Outliers (>= 0.5 rad),0.12263099219620958
360,3,1,Mean Square Error,0.10250774839788909
361,3,1,R squared,0.29301144158937376
362,3,1,Standard Deviation of Error,0.2950608867414699
363,3,1,Standard deviation per Recording (avg),0.23018080136505822
364,3,1,Ratio of Outliers (>= 0.5 rad),0.10813823857302118
365,3,2,Mean Square Error,0.08171453401450786
366,3,2,R squared,0.4364207437288453
367,3,2,Standard Deviation of Error,0.2521887572158132
368,3,2,Standard deviation per Recording (avg),0.17481337054282262
369,3,2,Ratio of Outliers (>= 0.5 rad),0.08807134894091416
370,3,3,Mean Square Error,0.0779895198147926
371,3,3,R squared,0.46211189840032996
372,3,3,Standard Deviation of Error,0.23966543120996997
373,3,3,Standard deviation per Recording (avg),0.14894410674508327
374,3,3,Ratio of Outliers (>= 0.5 rad),0.06577480490523968
375,3,4,Mean Square Error,0.0704379896083341
376,3,4,R squared,0.5141942583965264
377,3,4,Standard Deviation of Error,0.22438467903476791
378,3,4,Standard deviation per Recording (avg),0.1371120911786108
379,3,4,Ratio of Outliers (>= 0.5 rad),0.06354515050167224
380,3,5,Mean Square Error,0.0707741232258287
381,3,5,R squared,0.5118759690439652
382,3,5,Standard Deviation of Error,0.22119162303634357
383,3,5,Standard deviation per Recording (avg),0.12700339582092218
384,3,5,Ratio of Outliers (>= 0.5 rad),0.057971014492753624
385,3,6,Mean Square Error,0.0678692371080445
386,3,6,R squared,0.5319107593974481
387,3,6,Standard Deviation of Error,0.21384710739998983
388,3,6,Standard deviation per Recording (avg),0.11825250417807782
389,3,6,Ratio of Outliers (>= 0.5 rad),0.055741360089186176
390,3,7,Mean Square Error,0.0670302898582373
391,3,7,R squared,0.5376969181609936
392,3,7,Standard Deviation of Error,0.20937120341764837
393,3,7,Standard deviation per Recording (avg),0.11308667768533195
394,3,7,Ratio of Outliers (>= 0.5 rad),0.055741360089186176
395,3,8,Mean Square Error,0.06595364973799786
396,3,8,R squared,0.5451224275340079
397,3,8,Standard Deviation of Error,0.20603904020113004
398,3,8,Standard deviation per Recording (avg),0.10968929149762832
399,3,8,Ratio of Outliers (>= 0.5 rad),0.04793756967670011
400,3,9,Mean Square Error,0.06613237816814677
401,3,9,R squared,0.5438897504227372
402,3,9,Standard Deviation of Error,0.20470500415218362
403,3,9,Standard deviation per Recording (avg),0.1051589663118044
404,3,9,Ratio of Outliers (>= 0.5 rad),0.04793756967670011
405,3,10,Mean Square Error,0.06703182711058461
406,3,10,R squared,0.5376863158422622
407,3,10,Standard Deviation of Error,0.2058245247989448
408,3,10,Standard deviation per Recording (avg),0.10356320063178971
409,3,10,Ratio of Outliers (>= 0.5 rad),0.05128205128205128
410,3,11,Mean Square Error,0.0674569557748188
411,3,11,R squared,0.5347542340614848
412,3,11,Standard Deviation of Error,0.2053253088158413
413,3,11,Standard deviation per Recording (avg),0.10085857049577092
414,3,11,Ratio of Outliers (>= 0.5 rad),0.04793756967670011
415,3,12,Mean Square Error,0.06771135443154401
416,3,12,R squared,0.5329996648470521
417,3,12,Standard Deviation of Error,0.20493810004542773
418,3,12,Standard deviation per Recording (avg),0.09805885423000872
419,3,12,Ratio of Outliers (>= 0.5 rad),0.054626532887402456
420,3,13,Mean Square Error,0.06747022494864477
421,3,13,R squared,0.5346627175252119
422,3,13,Standard Deviation of Error,0.20391397807619316
423,3,13,Standard deviation per Recording (avg),0.09599518517706408
424,3,13,Ratio of Outliers (>= 0.5 rad),0.05351170568561873
425,3,14,Mean Square Error,0.06804796808684614
426,3,14,R squared,0.5306780647083031
427,3,14,Standard Deviation of Error,0.2043259035339921
428,3,14,Standard deviation per Recording (avg),0.09472845643409604
429,3,14,Ratio of Outliers (>= 0.5 rad),0.057971014492753624
430,3,15,Mean Square Error,0.06856258092531868
431,3,15,R squared,0.527128817022176
432,3,15,Standard Deviation of Error,0.203512041943726
433,3,15,Standard deviation per Recording (avg),0.09288063902523098
434,3,15,Ratio of Outliers (>= 0.5 rad),0.05351170568561873
435,3,16,Mean Square Error,0.06794531503427856
436,3,16,R squared,0.5313860554191077
437,3,16,Standard Deviation of Error,0.20249082613281283
438,3,16,Standard deviation per Recording (avg),0.09189363523742501
439,3,16,Ratio of Outliers (>= 0.5 rad),0.05351170568561873
440,3,17,Mean Square Error,0.06795588377269489
441,3,17,R squared,0.531313163591378
442,3,17,Standard Deviation of Error,0.20220797210733882
443,3,17,Standard deviation per Recording (avg),0.09058450537607109
444,3,17,Ratio of Outliers (>= 0.5 rad),0.054626532887402456
445,3,18,Mean Square Error,0.06729661700656317
446,3,18,R squared,0.535860078999044
447,3,18,Standard Deviation of Error,0.2005762410755075
448,3,18,Standard deviation per Recording (avg),0.08950168405197474
449,3,18,Ratio of Outliers (>= 0.5 rad),0.056856187290969896
450,3,19,Mean Square Error,0.06723488415518243
451,3,19,R squared,0.5362858460292086
452,3,19,Standard Deviation of Error,0.1997557162400109
453,3,19,Standard deviation per Recording (avg),0.08887217646546762
454,3,19,Ratio of Outliers (>= 0.5 rad),0.056856187290969896
455,3,20,Mean Square Error,0.06809089926772392
456,3,20,R squared,0.5303819714455593
457,3,20,Standard Deviation of Error,0.20091825033674807
458,3,20,Standard deviation per Recording (avg),0.08894738439860342
459,3,20,Ratio of Outliers (>= 0.5 rad),0.056856187290969896
460,3,21,Mean Square Error,0.06772527364501754
461,3,21,R squared,0.5329036650341437
462,3,21,Standard Deviation of Error,0.19980978859082793
463,3,21,Standard deviation per Recording (avg),0.08733598639236628
464,3,21,Ratio of Outliers (>= 0.5 rad),0.054626532887402456
465,3,22,Mean Square Error,0.06761793066956398
466,3,22,R squared,0.5336440018053392
467,3,22,Standard Deviation of Error,0.19943702597694554
468,3,22,Standard deviation per Recording (avg),0.08693718649326568
469,3,22,Ratio of Outliers (>= 0.5 rad),0.054626532887402456
470,3,23,Mean Square Error,0.06751092935829864
471,3,23,R squared,0.5343819821432342
472,3,23,Standard Deviation of Error,0.19887166489072017
473,3,23,Standard deviation per Recording (avg),0.08632080521391627
474,3,23,Ratio of Outliers (>= 0.5 rad),0.05239687848383501
475,3,24,Mean Square Error,0.06745354567809082
476,3,24,R squared,0.5347777532530331
477,3,24,Standard Deviation of Error,0.19859572383805038
478,3,24,Standard deviation per Recording (avg),0.08549345278471714
479,3,24,Ratio of Outliers (>= 0.5 rad),0.05128205128205128
480,4,1,Mean Square Error,0.19742848931102278
481,4,1,R squared,0.228224024762249
482,4,1,Standard Deviation of Error,0.39829259124797145
483,4,1,Standard deviation per Recording (avg),0.2521148169473346
484,4,1,Ratio of Outliers (>= 0.5 rad),0.1794871794871795
485,4,2,Mean Square Error,0.1642686568897838
486,4,2,R squared,0.3578505143075613
487,4,2,Standard Deviation of Error,0.3516587636160476
488,4,2,Standard deviation per Recording (avg),0.2027109651913723
489,4,2,Ratio of Outliers (>= 0.5 rad),0.16499442586399107
490,4,3,Mean Square Error,0.156896064418261
491,4,3,R squared,0.38667102427852185
492,4,3,Standard Deviation of Error,0.3350530142311937
493,4,3,Standard deviation per Recording (avg),0.177701077623003
494,4,3,Ratio of Outliers (>= 0.5 rad),0.14938684503901895
495,4,4,Mean Square Error,0.15521841456655203
496,4,4,R squared,0.3932291955684335
497,4,4,Standard Deviation of Error,0.32876656869946064
498,4,4,Standard deviation per Recording (avg),0.16593892232158683
499,4,4,Ratio of Outliers (>= 0.5 rad),0.1527313266443701
500,4,5,Mean Square Error,0.15480821392810812
501,4,5,R squared,0.39483272806206193
502,4,5,Standard Deviation of Error,0.3256935079586393
503,4,5,Standard deviation per Recording (avg),0.15579484657734027
