Iteration,Modelname,Metricname,Result
6,3-Channel CNN,Ratio of Outliers (>= 0.5 rad),0.0
6,4-Channel CNN,Mean Square Error,0.0118589586085527
4,4-Layer FC,Mean Square Error,0.0306130891067412
4,4-Layer FC,R squared,0.8803290913948341
6,4-Channel CNN,R squared,0.9507471550080148
4,4-Layer FC,Standard Deviation of Error,0.1734156384610363
6,4-Channel CNN,Standard Deviation of Error,0.1087003954034583
4,4-Layer FC,Standard deviation per Recording (avg),0.1024506390094757
6,4-Channel CNN,Standard deviation per Recording (avg),0.0878257825970649
6,4-Channel CNN,Ratio of Outliers (>= 0.5 rad),0.0011148272017837
4,4-Layer FC,Ratio of Outliers (>= 0.5 rad),0.0144927536231884
4,5-Layer FC,Mean Square Error,0.0289562830006449
4,5-Layer FC,R squared,0.8868057815259018
4,5-Layer FC,Standard Deviation of Error,0.169312976887283
4,5-Layer FC,Standard deviation per Recording (avg),0.0996711254119873
4,5-Layer FC,Ratio of Outliers (>= 0.5 rad),0.0133779264214046
4,1-Channel CNN,Mean Square Error,0.0317754026817878
4,1-Channel CNN,R squared,0.8757854427246539
4,1-Channel CNN,Standard Deviation of Error,0.1767821965865159
4,1-Channel CNN,Standard deviation per Recording (avg),0.1188851445913314
4,1-Channel CNN,Ratio of Outliers (>= 0.5 rad),0.0211817168338907
4,2-Channel CNN,Mean Square Error,0.0298512600926411
4,2-Channel CNN,R squared,0.8833071890968089
4,2-Channel CNN,Standard Deviation of Error,0.1726018694736722
4,2-Channel CNN,Standard deviation per Recording (avg),0.1196234822273254
4,2-Channel CNN,Ratio of Outliers (>= 0.5 rad),0.0089186176142697
7,3-Channel CNN,Mean Square Error,0.0173774174091728
7,3-Channel CNN,R squared,0.914599198750578
7,3-Channel CNN,Standard Deviation of Error,0.1312136374842939
7,3-Channel CNN,Standard deviation per Recording (avg),0.1150677949190139
7,3-Channel CNN,Ratio of Outliers (>= 0.5 rad),0.0033444816053511
7,4-Channel CNN,Mean Square Error,0.012084246660511
7,4-Channel CNN,R squared,0.940612329035813
7,4-Channel CNN,Standard Deviation of Error,0.1097886301227873
7,4-Channel CNN,Standard deviation per Recording (avg),0.0893106162548065
7,4-Channel CNN,Ratio of Outliers (>= 0.5 rad),0.0033444816053511
5,Linear,Mean Square Error,0.0387867494902861
5,Linear,R squared,0.8821904771767916
5,Linear,Standard Deviation of Error,0.1960064756193371
5,Linear,Standard deviation per Recording (avg),0.153653778760516
5,Linear,Ratio of Outliers (>= 0.5 rad),0.0144927536231884
5,3-Layer FC,Mean Square Error,0.0265109699065777
5,3-Layer FC,R squared,0.9194765027923631
5,3-Layer FC,Standard Deviation of Error,0.1621799084208184
5,3-Layer FC,Standard deviation per Recording (avg),0.1319047957658767
5,3-Layer FC,Ratio of Outliers (>= 0.5 rad),0.007803790412486
5,4-Layer FC,Mean Square Error,0.0211081454204057
5,4-Layer FC,R squared,0.9358868538266224
5,4-Layer FC,Standard Deviation of Error,0.1445297493421308
5,4-Layer FC,Standard deviation per Recording (avg),0.1054475605487823
5,4-Layer FC,Ratio of Outliers (>= 0.5 rad),0.0022296544035674
5,5-Layer FC,Mean Square Error,0.0221880340602311
8,3-Channel CNN,Mean Square Error,0.0112690127699361
8,3-Channel CNN,R squared,0.9438564897984671
5,5-Layer FC,R squared,0.9326068376604858
5,5-Layer FC,Standard Deviation of Error,0.1470524782402081
8,3-Channel CNN,Standard Deviation of Error,0.105931225561411
8,3-Channel CNN,Standard deviation per Recording (avg),0.0922938510775566
5,5-Layer FC,Standard deviation per Recording (avg),0.0976122543215751
5,5-Layer FC,Ratio of Outliers (>= 0.5 rad),0.0022296544035674
8,3-Channel CNN,Ratio of Outliers (>= 0.5 rad),0.0033444816053511
5,1-Channel CNN,Mean Square Error,0.0318818132079653
8,4-Channel CNN,Mean Square Error,0.0101038889459126
8,4-Channel CNN,R squared,0.94966126991857
5,1-Channel CNN,R squared,0.903163290295576
8,4-Channel CNN,Standard Deviation of Error,0.1003051240970264
5,1-Channel CNN,Standard Deviation of Error,0.1757076171060542
8,4-Channel CNN,Standard deviation per Recording (avg),0.0855574384331703
5,1-Channel CNN,Standard deviation per Recording (avg),0.1396614164113998
